Nº,Date,Time,Country,League,Home,Away,pHome,pAway
1,17.05.2023,16:00,EUROPE,CHAMPIONS LEAGUE - PLAY OFFS - SEMI-FINALS,Manchester City,Real Madrid,0.7441860465116279,0.6744186046511628
2,17.05.2023,13:00,AFRICA,CAF CONFEDERATION CUP - PLAY OFFS - SEMI-FINALS,Marumo Gallants,Young Africans,0.7142857142857143,0.6511627906976745
3,17.05.2023,16:00,AFRICA,CAF CONFEDERATION CUP - PLAY OFFS - SEMI-FINALS,USM Alger,ASEC Mimosas,0.5581395348837209,0.5581395348837209
4,17.05.2023,10:00,ALBANIA,SUPERLIGA - ROUND 33,Erzeni,Bylis,0.5813953488372093,0.5116279069767442
5,17.05.2023,10:00,ALBANIA,SUPERLIGA - ROUND 33,Kastrioti,Egnatia,0.46511627906976744,0.5
6,17.05.2023,10:00,ALBANIA,SUPERLIGA - ROUND 33,Kukesi,Laci,0.6744186046511628,0.6511627906976745
7,17.05.2023,10:00,ALBANIA,SUPERLIGA - ROUND 33,Vllaznia,Teuta,0.6511627906976745,0.4418604651162791
8,17.05.2023,13:30,ALBANIA,SUPERLIGA - ROUND 33,KF Tirana,Partizani,0.6511627906976745,0.7906976744186046
9,17.05.2023,12:00,ALGERIA,LIGUE 1 - ROUND 23,Chelghoum,Paradou,0.6904761904761905,0.5813953488372093
10,17.05.2023,12:00,ALGERIA,LIGUE 1 - ROUND 23,Constantine,Saoura,0.5813953488372093,0.627906976744186
11,17.05.2023,12:00,ALGERIA,LIGUE 1 - ROUND 23,CR Belouizdad,Arba,0.6046511627906976,0.6904761904761905
12,17.05.2023,12:00,ALGERIA,LIGUE 1 - ROUND 23,Khenchela,ES Setif,0.6976744186046512,0.627906976744186
13,17.05.2023,15:00,ARGENTINA,TORNEO FEDERAL - ROUND 11,Germinal,Circulo Deportivo,0.6666666666666666,0.7209302325581395
14,17.05.2023,15:00,ARGENTINA,TORNEO FEDERAL - ROUND 11,Sol de Mayo,Olimpo Bahia Blanca,0.46511627906976744,0.6046511627906976
15,17.05.2023,15:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Boca Unidos,San Martin Formosa,0.627906976744186,0.6511627906976745
16,17.05.2023,15:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Defensores Belgrano VR,Def. Pronunciamiento,0.5813953488372093,0.7209302325581395
17,17.05.2023,17:00,ARGENTINA,TORNEO FEDERAL - ROUND 11,Sportivo Belgrano,El Linqueno,0.7441860465116279,0.5555555555555556
18,17.05.2023,20:00,ARGENTINA,TORNEO FEDERAL - ROUND 11,Santamarina,CA Liniers,0.627906976744186,0.5952380952380952
19,17.05.2023,20:15,ARGENTINA,TORNEO FEDERAL - ROUND 11,Formosa,Sarmiento Resistencia,0.5833333333333334,0.627906976744186
20,17.05.2023,20:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,9 de Julio Rafaela,Central Norte,0.875,0.6744186046511628
21,17.05.2023,20:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Argentino MM,Ciudad Bolivar,0.6097560975609756,0.6046511627906976
22,17.05.2023,20:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Cipolletti,Sansinena,0.5581395348837209,0.7906976744186046
23,17.05.2023,20:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Douglas Haig,Independiente Chivilcoy,0.627906976744186,0.5581395348837209
24,17.05.2023,20:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Ferro Gen. Pico,Juventud Unida Universitario,0.627906976744186,0.5581395348837209
25,17.05.2023,20:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Union Sunchales,Sportivo Las Parejas,0.6046511627906976,0.5813953488372093
26,17.05.2023,21:00,ARGENTINA,TORNEO FEDERAL - ROUND 11,Sportivo Estudiantes,Club Sportivo Penarol,0.6511627906976745,0.6046511627906976
27,17.05.2023,21:30,ARGENTINA,TORNEO FEDERAL - ROUND 11,Biblioteca Atenas,San Martin Mendoza,0.8888888888888888,0.5384615384615384
28,17.05.2023,22:00,ARGENTINA,TORNEO FEDERAL - ROUND 11,Antoniana,Gimnasia y Tiro,0.7441860465116279,0.627906976744186
29,17.05.2023,21:10,ARGENTINA,COPA ARGENTINA - 1/32-FINALS,Gimnasia Mendoza,All Boys,0.46511627906976744,0.627906976744186
30,17.05.2023,09:00,ARMENIA,PREMIER LEAGUE - ROUND 32,Lernayin Artsakh,Urartu,0.627906976744186,0.6046511627906976
31,17.05.2023,13:00,ARMENIA,PREMIER LEAGUE - ROUND 32,Shirak Gyumri,Ararat-Armenia,0.6904761904761905,0.6666666666666666
32,17.05.2023,06:00,AUSTRALIA,NPL ACT - ROUND 4,Canberra Croatia,West Canberra Wanderers,0.813953488372093,0.7906976744186046
33,17.05.2023,07:00,AUSTRALIA,NPL NORTHERN NSW - ROUND 7,Lake Macquarie,Maitland,0.8604651162790697,0.7674418604651163
34,17.05.2023,01:00,AUSTRALIA & OCEANIA,OFC CHAMPIONS LEAGUE - ROUND 2,Suva (Fij),Auckland City (Nzl),0.7142857142857143,0.7857142857142857
35,17.05.2023,22:00,AUSTRALIA & OCEANIA,OFC CHAMPIONS LEAGUE - ROUND 2,Tiga Sport (Nca),Hekari Utd (Pap),1.0,0.7647058823529411
36,17.05.2023,12:30,AZERBAIJAN,PREMIER LEAGUE - ROUND 34,Sumqayit,Sabah Baku,0.6046511627906976,0.6976744186046512
37,17.05.2023,12:00,BENIN,LIGUE 1 - CHAMPIONSHIP GROUP,Ayema,Coton FC,0.45454545454545453,0.5
38,17.05.2023,12:00,BENIN,LIGUE 1 - CHAMPIONSHIP GROUP,Dragons,AS Cotonou,0.4090909090909091,0.25
39,17.05.2023,12:00,BENIN,LIGUE 1 - CHAMPIONSHIP GROUP,Requins,ASVO,0.46153846153846156,0.3333333333333333
40,17.05.2023,13:00,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA CUP - FINAL,Velez Mostar,Zrinjski,0.5581395348837209,0.7674418604651163
41,17.05.2023,19:00,BRAZIL,COPA DO BRASIL - 1/8-FINALS,Palmeiras,Fortaleza,0.7209302325581395,0.7674418604651163
42,17.05.2023,19:00,BRAZIL,COPA DO BRASIL - 1/8-FINALS,Santos,Bahia,0.627906976744186,0.7674418604651163
43,17.05.2023,19:30,BRAZIL,COPA DO BRASIL - 1/8-FINALS,Gremio,Cruzeiro,0.6744186046511628,0.6511627906976745
44,17.05.2023,20:00,BRAZIL,COPA DO BRASIL - 1/8-FINALS,Sport Recife,Sao Paulo,0.7441860465116279,0.6976744186046512
45,17.05.2023,21:30,BRAZIL,COPA DO BRASIL - 1/8-FINALS,America MG,Internacional,0.7674418604651163,0.5813953488372093
46,17.05.2023,21:30,BRAZIL,COPA DO BRASIL - 1/8-FINALS,Athletico-PR,Botafogo RJ,0.6976744186046512,0.6511627906976745
47,17.05.2023,21:30,BRAZIL,COPA DO BRASIL - 1/8-FINALS,Atletico-MG,Corinthians,0.627906976744186,0.7674418604651163
48,17.05.2023,20:00,BRAZIL,COPA VERDE - FINAL,Paysandu PA,Goias,0.627906976744186,0.627906976744186
49,17.05.2023,04:30,CHINA,FA CUP - 1/64-FINALS,Shanghai Zhongchen,Quanzhou Yassin,0.627906976744186,0.627906976744186
50,17.05.2023,04:30,CHINA,FA CUP - 1/64-FINALS,Wuhan Xiaoma,Guangxi Lanhang,0.627906976744186,0.627906976744186
51,17.05.2023,08:30,CHINA,FA CUP - 1/64-FINALS,Guangxi Junling,Hubei Istar,0.627906976744186,0.627906976744186
52,17.05.2023,08:30,CHINA,FA CUP - 1/64-FINALS,Qingdao May Wind,Yunnan Yukun,0.627906976744186,0.627906976744186
53,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Aguilas,Jaguares de Cordoba,0.6976744186046512,0.5116279069767442
54,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Bucaramanga,America De Cali,0.6046511627906976,0.6511627906976745
55,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Dep. Cali,Chico,0.7441860465116279,0.627906976744186
56,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Dep. Pasto,Envigado,0.6046511627906976,0.5813953488372093
57,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Deportes Tolima,Atl. Nacional,0.6976744186046512,0.7209302325581395
58,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Huila,Junior,0.813953488372093,0.4883720930232558
59,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Ind. Medellin,U. Magdalena,0.6744186046511628,0.6046511627906976
60,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Millonarios,La Equidad,0.627906976744186,0.627906976744186
61,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Once Caldas,Santa Fe,0.6428571428571429,0.6511627906976745
62,17.05.2023,21:00,COLOMBIA,PRIMERA A - APERTURA - ROUND 20,Pereira,Petrolera,0.7674418604651163,0.6666666666666666
63,17.05.2023,23:00,COSTA RICA,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - FINAL,Alajuelense,Saprissa,0.7441860465116279,0.7441860465116279
64,17.05.2023,13:00,CYPRUS,FIRST DIVISION - RELEGATION GROUP - ROUND 38,AEL Limassol,Karmiotissa,0.5476190476190477,0.8095238095238095
65,17.05.2023,13:00,CYPRUS,FIRST DIVISION - RELEGATION GROUP - ROUND 38,Nea Salamis,Paralimni,0.7441860465116279,0.627906976744186
66,17.05.2023,15:30,EGYPT,PREMIER LEAGUE - ROUND 28,National Bank Egypt,El Ismaily,0.7906976744186046,0.627906976744186
67,17.05.2023,12:00,EGYPT,EGYPT CUP - 1/16-FINALS,Pyramids,Ghazl Kafr El Dawar,0.6511627906976745,0.627906976744186
68,17.05.2023,17:00,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Jocoro,Aguila,0.6046511627906976,0.6046511627906976
69,17.05.2023,17:00,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Luis Angel Firpo,Dragon,0.4883720930232558,0.627906976744186
70,17.05.2023,17:00,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,Metapan,11 Deportivo,0.6744186046511628,0.4883720930232558
71,17.05.2023,22:30,EL SALVADOR,PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS,FAS,Alianza FC,0.6744186046511628,0.6744186046511628
72,17.05.2023,16:00,ENGLAND,CHAMPIONSHIP - PLAY OFFS - SEMI-FINALS,Middlesbrough,Coventry,0.7674418604651163,0.5813953488372093
73,17.05.2023,14:15,ENGLAND,WOMEN’S SUPER LEAGUE,Everton W,Arsenal W,0.7441860465116279,0.813953488372093
74,17.05.2023,16:15,ENGLAND,WOMEN’S SUPER LEAGUE,West Ham W,Chelsea W,0.5813953488372093,0.7674418604651163
75,17.05.2023,09:00,ETHIOPIA,PREMIER LEAGUE - ROUND 24,St. George,Hawassa,0.6046511627906976,0.7209302325581395
76,17.05.2023,12:00,ETHIOPIA,PREMIER LEAGUE - ROUND 24,Sidama Bunna,Defence Force,0.7906976744186046,0.5348837209302325
77,17.05.2023,11:30,EUROPE,EURO U17 - ROUND 1,Poland U17,Ireland U17,0.7619047619047619,0.7142857142857143
78,17.05.2023,11:30,EUROPE,EURO U17 - ROUND 1,Scotland U17,France U17,0.7619047619047619,0.8333333333333334
79,17.05.2023,15:00,EUROPE,EURO U17 - ROUND 1,Hungary U17,Wales U17,0.6511627906976745,0.7209302325581395
80,17.05.2023,15:00,EUROPE,EURO U17 - ROUND 1,Portugal U17,Germany U17,0.813953488372093,0.8205128205128205
81,17.05.2023,10:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Kyzyltash,TSK Simferopol,0.6585365853658537,0.7380952380952381
82,17.05.2023,11:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Chernomorets Sevastopol,Alushta,0.375,0.7948717948717948
83,17.05.2023,11:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Ocean Kerch,Rubin Yalta,0.75,0.7619047619047619
84,17.05.2023,12:00,EUROPE,PREMIER LEAGUE (CRIMEA) - ROUND 9,Sparta-KT,FC Sevastopol,0.7,0.7857142857142857
85,17.05.2023,07:00,EUROPE,EURO U17 WOMEN - ROUND 2,Poland U17 W,France U17 W,0.8372093023255814,0.8837209302325582
86,17.05.2023,11:00,EUROPE,EURO U17 WOMEN - ROUND 2,Estonia U17 W,Germany U17 W,0.825,0.8372093023255814
87,17.05.2023,13:00,EUROPE,EURO U17 WOMEN - ROUND 2,Spain U17 W,Switzerland U17 W,0.7441860465116279,0.9069767441860465
88,17.05.2023,13:00,EUROPE,EURO U17 WOMEN - ROUND 2,Sweden U17 W,England U17 W,0.813953488372093,0.7906976744186046
89,17.05.2023,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,NoPS,Ilves,0.5,0.7441860465116279
90,17.05.2023,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,SJK,AC Oulu,0.7380952380952381,0.6904761904761905
91,17.05.2023,12:00,FINLAND,SUOMEN CUP - 1/32-FINALS,Tampere Utd,Inter Turku,0.813953488372093,0.6666666666666666
92,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,EPS,HIFK,0.7906976744186046,0.8333333333333334
93,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,GrIFK,Gnistan,0.6976744186046512,0.7317073170731707
94,17.05.2023,12:30,FINLAND,SUOMEN CUP - 1/32-FINALS,KaaPo,Ekenas,0.9069767441860465,0.7857142857142857
