Nº;ID;Date;Time;Country;League;Home;Away;jogosHome;jogosAway;GPH;GAH;GPA;GAA;avgHome;avgAway;avgSum;U25;O25
1;I10bE7po;19/09/2023;11:35;OMAN;PROFESSIONAL LEAGUE - ROUND 4;Al-Rustaq;Al Seeb;20;23;0,5;0,7;1,3913;0,6522;0,5761;1,0457;1,6217;77,78;22,2
2;fy3SzZW7;19/09/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 13;Deportivo Muniz;CSR Espanol;21;22;0,9524;0,8571;0,8636;0,8636;0,908;0,8604;1,7684;73,9;26,07
3;pCKS5vDi;19/09/2023;10:00;ALBANIA;SUPERLIGA - ROUND 4;Teuta;Skenderbeu;24;21;1,125;0,8333;0,9524;0,6667;0,8958;0,8929;1,7887;73,37;26,6
4;EkcwGmjk;19/09/2023;11:30;BULGARIA;VTORA LIGA - ROUND 9;Montana;Yantra Gabrovo;18;20;1,1667;0,9444;0,65;0,9;1,0333;0,7972;1,8306;72,24;27,72
5;CYd8EYPG;19/09/2023;18:45;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 5;Central Cordoba;Boca Juniors;21;22;0,9524;0,8571;1,0;0,9091;0,9307;0,9286;1,8593;71,48;28,48
6;IDf9h8hA;19/09/2023;18:05;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 12;Quindio;Llaneros;21;21;1,2857;0,8571;0,7619;0,8571;1,0714;0,8095;1,881;70,88;29,1
7;44kZnLsd;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Boreham Wood;Rochdale;21;22;0,9048;0,8571;1,0455;1,1818;1,0433;0,9513;1,9946;67,82;32,12
8;UXNX5rBs;19/09/2023;21:30;BRAZIL;SERIE B - ROUND 29;Sampaio Correa;Vila Nova FC;22;21;1,2273;0,9545;1,0476;0,7619;0,9946;1,0011;1,9957;67,78;32,17
9;Am1Gwymk;19/09/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 13;Central Ballester;Argentino de Rosario;21;21;0,7619;1,1429;1,0952;1,0;0,881;1,119;2,0;67,65;32,3
10;lApCtSbU;19/09/2023;13:30;ITALY;SERIE C - GROUP B - ROUND 4;Lucchese;Gubbio;18;20;0,8889;0,7778;1,3;1,05;0,9694;1,0389;2,0083;67,44;32,52
11;tps4rlUH;19/09/2023;13:30;ITALY;SERIE C - GROUP B - ROUND 4;Fermana;Recanatese;20;22;0,95;1,0;1,0455;1,0909;1,0205;1,0227;2,0432;66,51;33,47
12;hfPZcE9a;19/09/2023;14:30;SOUTH AFRICA;PREMIER LEAGUE - ROUND 7;Richards Bay;Chippa Utd.;21;19;0,619;0,9524;1,1053;1,4211;1,0201;1,0288;2,0489;66,36;33,64
13;29KvGWDp;19/09/2023;21:00;ECUADOR;SERIE B - ROUND 31;America de Quito;Manta;21;20;1,0476;1,0476;0,75;1,3;1,1738;0,8988;2,0726;65,7;34,26
14;08M33FuR;19/09/2023;14:30;SAUDI ARABIA;DIVISION 1 - ROUND 6;Al-Faisaly;Al Qadisiya;23;23;1,5652;0,9565;0,6522;1,0;1,2826;0,8043;2,087;65,31;34,65
15;vq5eHztb;19/09/2023;21:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 5;Rosario Central;Independiente;21;19;1,7143;0,7143;0,7368;1,0526;1,3835;0,7256;2,109;64,72;35,21
16;K0ecYSNF;19/09/2023;13:00;SPAIN;SEGUNDA RFEF - GROUP 3 - ROUND 3;Manresa;Pena Deportiva;23;21;1,2174;0,7826;1,1429;1,1429;1,1801;0,9627;2,1429;63,81;36,16
17;nqX5ZvXH;19/09/2023;10:00;EGYPT;PREMIER LEAGUE - ROUND 1;ZED;El Ismaily;21;23;1,4286;0,619;0,8696;1,3913;1,4099;0,7443;2,1542;63,49;36,41
18;4nlipp0j;19/09/2023;16:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 12;Patriotas;Orsomarso;21;22;1,4286;0,7143;0,5455;1,6364;1,5325;0,6299;2,1623;63,29;36,62
19;ObPmXbcA;19/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 7;Defensa y Justicia 2;Arsenal Sarandi 2;20;20;1,45;1,1;0,6;1,2;1,325;0,85;2,175;62,94;37,04
20;p0bhsmm1;19/09/2023;15:00;ASIA;AFC CUP - ROUND 1;Al Wehdat;Al-Ittihad;22;19;1,9545;0,6364;1,2632;0,5789;1,2667;0,9498;2,2165;61,83;38,15
21;Gd8ZcTT4;19/09/2023;13:30;ITALY;SERIE C - GROUP B - ROUND 4;Vis Pesaro;Entella;20;19;0,55;1,2;1,3158;1,3684;0,9592;1,2579;2,2171;61,81;38,12
22;Q7FM0Vqn;19/09/2023;13:30;ITALY;SERIE C - GROUP B - ROUND 4;Pineto;Rimini;20;21;1,8;0,75;0,8095;1,1429;1,4714;0,7798;2,2512;60,91;39,01
23;pWOWWk3R;19/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 7;Sarmiento Junin 2;Barracas Central 2;21;21;1,2857;0,9048;0,619;1,7143;1,5;0,7619;2,2619;60,62;39,25
24;IZ3aGfe4;19/09/2023;21:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 5;Huracan;Gimnasia L.P.;21;20;1,2381;0,9048;0,75;1,65;1,444;0,8274;2,2714;60,38;39,55
25;zVjmeim7;19/09/2023;14:30;SAUDI ARABIA;DIVISION 1 - ROUND 6;Al Arabi;Al Kholood;21;22;1,4286;1,0;1,1818;0,9545;1,1916;1,0909;2,2825;60,06;39,87
26;jHwcy125;19/09/2023;13:00;EGYPT;PREMIER LEAGUE - ROUND 1;Al Ahly;Al Masry;25;21;1,8;0,84;1,0;1,0;1,4;0,92;2,32;59,08;40,83
27;AJo8s8qO;19/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 4;Juventus U23;Spal;18;21;1,3333;1,1667;0,8571;1,2857;1,3095;1,0119;2,3214;59,02;40,88
28;6u4YYKrD;19/09/2023;17:20;PERU;LIGA 1 - CLAUSURA - ROUND 14;AD Cantolao;FBC Melgar;20;20;0,95;1,25;1,05;1,4;1,175;1,15;2,325;58,95;40,98
29;AFVSXJPD;19/09/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 32;Cheongju;Seoul E-Land;22;18;1,0909;1,1818;1,0;1,3889;1,2399;1,0909;2,3308;58,78;41,17
30;6LkPDAdk;19/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 7;Gimnasia L.P. 2;Estudiantes L.P. 2;21;21;1,5238;1,0952;0,7143;1,3333;1,4286;0,9048;2,3333;58,72;41,19
31;nHOwcYO5;19/09/2023;14:30;SOUTH AFRICA;PREMIER LEAGUE - ROUND 7;Stellenbosch;Swallows;23;22;1,5652;1,2174;0,6364;1,2727;1,419;0,9269;2,3458;58,4;41,53
32;EXBI1BUu;19/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 4;Perugia;Pontedera;21;22;1,3333;1,2857;1,1818;0,9091;1,1212;1,2338;2,355;58,15;41,81
33;viLVbffg;19/09/2023;14:30;SOUTH AFRICA;PREMIER LEAGUE - ROUND 7;Cape Town Spurs;Golden Arrows;21;21;1,5714;0,6667;1,0476;1,4286;1,5;0,8571;2,3571;58,09;41,81
34;UXTX33v7;19/09/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 12;La Equidad;Dep. Cali;21;22;1,1905;0,7143;0,9091;1,9545;1,5725;0,8117;2,3842;57,38;42,48
35;fkbZQRpG;19/09/2023;18:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 11;Guanacasteca;Alajuelense;23;21;1,3478;0,8261;1,619;1,0;1,1739;1,2226;2,3965;57,06;42,87
36;neFvaY02;19/09/2023;15:45;ENGLAND;CHAMPIONSHIP - ROUND 7;Cardiff;Coventry;22;22;1,3182;1,0909;1,5455;0,8636;1,0909;1,3182;2,4091;56,74;43,18
37;h61rdXX0;19/09/2023;12:50;SAUDI ARABIA;DIVISION 1 - ROUND 6;Al Jabalain;Jeddah;22;22;1,5455;1,2727;0,7273;1,2727;1,4091;1,0;2,4091;56,73;43,19
38;QLWaQ9La;19/09/2023;13:00;PERU;LIGA 2 - ROUND 25;Ayacucho;Santos;20;22;1,3;1,3;0,7273;1,5;1,4;1,0136;2,4136;56,62;43,3
39;E9y6kQSK;19/09/2023;21:06;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN CUP - ROUND 3;Cavalier;Moca;18;21;1,8889;0,7778;1,3333;0,8571;1,373;1,0556;2,4286;56,23;43,73
40;KUhepAa5;19/09/2023;13:30;ITALY;SERIE C - GROUP B - ROUND 4;Arezzo;Olbia;20;21;1,5;1,15;1,1429;1,0952;1,2976;1,1464;2,444;55,81;44,12
41;ryzKldJD;19/09/2023;15:45;ENGLAND;LEAGUE ONE - ROUND 7;Port Vale;Burton;21;25;1,0476;1,0952;1,16;1,6;1,3238;1,1276;2,4514;55,64;44,26
42;4GmwyVhn;19/09/2023;15:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Persepolis;Al Nassr;21;25;1,4762;0,5238;1,84;1,08;1,2781;1,1819;2,46;55,42;44,5
43;2X6xGSg8;19/09/2023;15:00;ENGLAND;EFL TROPHY;Derby;Lincoln;25;24;1,52;0,92;1,375;1,125;1,3225;1,1475;2,47;55,17;44,78
44;MTZ8ypy2;19/09/2023;08:30;ASIA;ASIAN GAMES - ROUND 1;Saudi Arabia U23;Iran U23;25;26;1,84;0,72;1,1923;1,1923;1,5162;0,9562;2,4723;55,09;44,78
45;YmVUXkGc;19/09/2023;09:00;ARMENIA;PREMIER LEAGUE - ROUND 8;Urartu;Van;19;22;1,5263;0,8947;0,8182;1,7273;1,6268;0,8565;2,4833;54,82;45,01
46;E7zWxmcj;19/09/2023;15:00;ENGLAND;EFL TROPHY;Exeter;Reading;19;20;1,4211;0,9474;0,75;1,85;1,6355;0,8487;2,4842;54,79;45,04
47;AR7omraI;19/09/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 10;Cancun;Cimarrones de Sonora;24;21;1,0833;1,3333;1,2857;1,2857;1,1845;1,3095;2,494;54,53;45,41
48;nyL8OmjC;19/09/2023;17:15;PERU;LIGA 2 - ROUND 25;Union Huaral;Los Chankas;22;21;1,0455;1,1364;1,1905;1,619;1,3323;1,1634;2,4957;54,49;45,44
49;r9wsAGX6;19/09/2023;07:00;SOUTH KOREA;K LEAGUE 2 - ROUND 32;Busan;Ansan Greeners;19;20;1,3158;0,5789;1,15;1,95;1,6329;0,8645;2,4974;54,45;45,4
50;OjR8UHYO;19/09/2023;11:30;PORTUGAL;LIGA REVELACAO U23 - ROUND 5;Estrela U23;Estoril U23;18;18;0,9444;0,7222;1,6111;1,7222;1,3333;1,1667;2,5;54,39;45,55
51;WbexHSas;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Biggleswade Town;Bishop's Stortford;20;19;1,5;1,3;1,4211;0,7895;1,1447;1,3605;2,5053;54,26;45,67
52;f7sxBXTo;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Dag & Red;Bromley;19;20;0,8947;1,5263;1,45;1,15;1,0224;1,4882;2,5105;54,1;45,79
53;zJtzLEy5;19/09/2023;15:00;ENGLAND;EFL TROPHY;Wycombe;Crystal Palace U21;23;22;1,087;1,0;1,5909;1,3636;1,2253;1,2955;2,5208;53,86;46,07
54;tKF60nPn;19/09/2023;12:35;SAUDI ARABIA;DIVISION 1 - ROUND 6;Al Batin;Ohod;21;21;1,3333;1,7143;0,619;1,381;1,3571;1,1667;2,5238;53,77;46,15
55;G067uJ1M;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Barcelona;Antwerp;18;22;1,8889;0,6667;1,5909;0,9091;1,399;1,1288;2,5278;53,67;46,25
56;QoErbhG8;19/09/2023;15:45;ENGLAND;CHAMPIONSHIP - ROUND 7;QPR;Swansea;19;21;0,5263;1,7895;1,4286;1,3333;0,9298;1,609;2,5388;53,38;46,48
57;8pM4PTz6;19/09/2023;17:15;PERU;LIGA 2 - ROUND 25;Pirata;Comerciantes Unidos;22;22;1,1364;1,1364;1,4091;1,4091;1,2727;1,2727;2,5455;53,21;46,76
58;KUEQakah;19/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 4;Sestri Levante;Pescara;19;20;1,7368;0,4737;1,35;1,55;1,6434;0,9118;2,5553;52,97;46,88
59;Ys6IoB2N;19/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 9 - ROUND 4;Avantul Reghin;Industria Galda;22;21;1,1818;1,1818;1,0476;1,7143;1,4481;1,1147;2,5628;52,77;47,14
60;SWLar5OJ;19/09/2023;13:30;ITALY;SERIE C - GROUP A - ROUND 4;Pergolettese;Triestina;23;21;1,4783;1,3478;1,0;1,3333;1,4058;1,1739;2,5797;52,36;47,57
61;zsLjuR3n;19/09/2023;20:30;PARAGUAY;COPA PARAGUAY - 1/8-FINALS;Tacuary;Sportivo Trinidense;21;22;1,2381;1,5714;1,2727;1,0909;1,1645;1,4221;2,5866;52,18;47,73
62;2eyAzXJP;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Lazio;Atl. Madrid;18;25;1,6111;0,7778;1,72;1,08;1,3456;1,2489;2,5944;51,98;47,94
63;vNe5glw4;19/09/2023;20:10;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 12;Barranquilla;Atletico F.C.;21;21;1,2381;1,381;0,7619;1,8095;1,5238;1,0714;2,5952;51,95;47,92
64;2gr0qUEB;19/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 4;Cesena;Ancona;19;20;2,0;0,8421;1,0;1,35;1,675;0,9211;2,5961;51,94;47,87
65;YNigDpa6;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Braintree;Canvey;21;19;1,4762;1,0476;1,6842;1,0;1,2381;1,3659;2,604;51,74;48,17
66;U3WtfIGF;19/09/2023;16:00;EUROPE;CHAMPIONS LEAGUE - GROUP STAGE - ROUND 1;Shakhtar Donetsk;FC Porto;18;20;2,1111;1,0;1,55;0,55;1,3306;1,275;2,6056;51,71;48,23
67;djMnt7lt;19/09/2023;18:00;PARAGUAY;COPA PARAGUAY - 1/8-FINALS;Nacional Asuncion;Sp. Luqueno;21;22;1,3333;1,0476;1,3182;1,5455;1,4394;1,1829;2,6223;51,28;48,6
68;ImiRlsDq;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Southend;Maidenhead;22;24;1,6818;1,0;1,125;1,4583;1,5701;1,0625;2,6326;51,03;48,84
69;MmKGTewO;19/09/2023;05:00;ASIA;ASIAN GAMES - ROUND 1;Bahrain U23;Thailand U23;21;20;1,0476;1,4762;1,95;0,8;0,9238;1,7131;2,6369;50,91;48,88
70;UPZl8VD4;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Gateshead;Kidderminster;22;24;1,9091;1,3636;1,25;0,7917;1,3504;1,3068;2,6572;50,42;49,48
71;t4gfnlio;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Chesterfield;FC Halifax;21;25;1,9048;1,619;1,08;0,72;1,3124;1,3495;2,6619;50,29;49,6
72;QR3G28oU;19/09/2023;11:00;ALBANIA;SUPERLIGA - ROUND 4;Laci;Vllaznia;20;21;1,95;1,3;0,9524;1,1905;1,5702;1,1262;2,6964;49,45;50,41
73;EcHKtyEm;19/09/2023;13:00;ASIA;AFC CUP - ROUND 1;Al Kahraba;Al Kuwait;21;20;1,1905;0,7619;2,0;1,45;1,3202;1,381;2,7012;49,33;50,56
74;xjwc69rH;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Solihull Moors;AFC Fylde;21;20;1,3333;1,2857;1,8;1,0;1,1667;1,5429;2,7095;49,13;50,7
75;MmlkEQq0;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Brackley Town;Scunthorpe;21;21;1,5714;1,0;1,1429;1,7143;1,6429;1,0714;2,7143;49,01;50,81
76;YD80yzMo;19/09/2023;15:30;ENGLAND;EFL TROPHY;Colchester;Tottenham U21;22;27;1,1364;1,0455;1,2222;2,037;1,5867;1,1338;2,7205;48,86;50,99
77;Maxo9zmD;19/09/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 32;Seongnam;Gimcheon Sangmu;22;22;1,3182;1,6364;1,3182;1,1818;1,25;1,4773;2,7273;48,7;51,16
78;dvjVm1Sk;19/09/2023;15:45;ENGLAND;NATIONAL LEAGUE - ROUND 10;Woking;Ebbsfleet;22;22;1,4091;1,1364;1,6818;1,2727;1,3409;1,4091;2,75;48,15;51,74
79;lvYtVm0G;19/09/2023;12:00;ARMENIA;PREMIER LEAGUE - ROUND 8;Shirak Gyumri;Ararat-Armenia;25;22;0,76;1,52;2,0455;1,2273;0,9936;1,7827;2,7764;47,51;52,22
80;A7DW3L4e;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Scarborough;Farsley;20;23;1,45;1,45;1,0;1,6522;1,5511;1,225;2,7761;47,51;52,35
81;I9fNQrC8;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Frome;Plymouth Parkway;24;20;1,4167;1,5;0,9;1,75;1,5833;1,2;2,7833;47,34;52,51
82;2F1sP5FS;19/09/2023;23:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 11;Saprissa;AD Santos;22;21;2,4545;0,5455;0,9524;1,619;2,0368;0,7489;2,7857;47,29;52,2
83;KCksDMaJ;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Taunton;Merthyr Town;21;21;1,0476;1,381;1,8095;1,3333;1,1905;1,5952;2,7857;47,28;52,54
84;8ptnqywB;19/09/2023;08:30;ASIA;ASIAN GAMES - ROUND 1;Indonesia U23;Kyrgyzstan U23;23;19;2,4783;1,0435;0,6842;1,3684;1,9233;0,8638;2,7872;47,25;52,34
85;tjzYqIjC;19/09/2023;08:00;EUROPE;UEFA YOUTH LEAGUE - GROUP STAGE - ROUND 1;Shakhtar Donetsk U19;FC Porto U19;18;22;1,9444;0,7778;1,9545;0,9091;1,4268;1,3662;2,7929;47,12;52,76
86;S4ydTdk4;19/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Marlow;Horsham FC;21;18;1,5714;1,4762;1,3889;1,2222;1,3968;1,4325;2,8294;46,26;53,58
