Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
1;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Mid-Ulster W;Ballymena W;23;23;4,6957;6;6;5,3333;1,0;1,0;2,0;10,029
2;02/06/2023;20:00;USA;USL LEAGUE TWO;Thunder Bay Chill;Rochester FC;25;27;2,7778;2;2;2,5;0,9259;1,0;1,9259;5,2778
3;02/06/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;K. Almaty 2;Jas Qyran;27;30;3,6667;12;12;4,5833;0,9;1,0;1,9;8,25
4;02/06/2023;15:00;EUROPE;EURO U17 - PLAY OFFS - FINAL;Germany U17;France U17;29;30;4,0;28;30;3,4667;0,9667;0,9333;1,9;7,4667
5;02/06/2023;15:00;SWITZERLAND;SUPER LEAGUE WOMEN - PLAY OFFS - FINAL;Servette Geneve FC W;Zurich W;28;30;3,8;29;30;4,8333;0,9333;0,9667;1,9;8,6333
6;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Cliftonville W;Glentoran W;29;30;5,1667;27;30;5,2333;0,9667;0,9;1,8667;10,4
7;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Linfield W;Sion Swifts W;27;30;4,6333;29;30;4,0667;0,9;0,9667;1,8667;8,7
8;02/06/2023;23:00;USA;USL LEAGUE TWO;Lane United;United PDX;26;30;3,6667;2;2;7,0;0,8667;1,0;1,8667;10,6667
9;02/06/2023;13:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 8;Parnu JK Vaprus W;Tallina Kalev W;30;30;6,5;26;30;4,2;1,0;0,8667;1,8667;10,7
10;02/06/2023;07:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 29;Dukla Prague U19;Brno U19;28;30;3,7667;28;30;3,7667;0,9333;0,9333;1,8666;7,5334
11;02/06/2023;14:30;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 42;Meerbusch;Hamborn;28;30;3,4;28;30;3,8667;0,9333;0,9333;1,8666;7,2667
12;02/06/2023;06:00;AUSTRALIA;NPL ACT - ROUND 4;Tigers FC;Gungahlin;28;30;3,6333;28;30;4,0333;0,9333;0,9333;1,8666;7,6666
13;02/06/2023;19:00;NORTH & CENTRAL AMERICA;CONCACAF CHAMPIONSHIP WOMEN U20 - PLAY OFFS - SEMI-FINALS;USA U20 W;Costa Rica U20 W;29;30;5,5;26;30;4,4;0,9667;0,8667;1,8334;9,9
14;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Wolfsberger AC (Am);Bad Gleichenberg;27;30;3,4333;28;30;3,9333;0,9;0,9333;1,8333;7,3666
15;02/06/2023;07:15;AUSTRALIA;NPL QUEENSLAND - ROUND 12;Olympic FC;Moreton Bay Utd;27;30;3,8333;27;30;3,4667;0,9;0,9;1,8;7,3
16;02/06/2023;13:30;AUSTRIA;REGIONALLIGA WEST - SALZBURG - RELEGATION GROUP - ROUND 31;SAK 1914;USK Anif;26;30;3,2667;28;30;3,4333;0,8667;0,9333;1,8;6,7
17;02/06/2023;14:30;NORWAY;DIVISION 3 - GROUP 3 - ROUND 8;Froya;Bremnes;26;30;3,4333;28;30;4,3667;0,8667;0,9333;1,8;7,8
18;02/06/2023;11:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;Zhenis;Aktobe 2;24;30;3,4333;8;8;4,875;0,8;1,0;1,8;8,3083
19;02/06/2023;07:15;AUSTRALIA;NPL NORTHERN NSW - ROUND 14;New Lambton;Lambton J.;12;13;4,0769;26;30;3,2667;0,9231;0,8667;1,7898;7,3436
20;02/06/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Crusaders W;Lisburn Ladies W;26;30;3,8667;21;23;4,087;0,8667;0,913;1,7797;7,9537
21;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Weindorf St. Anna;Treibach;26;30;3,3333;27;30;3,5333;0,8667;0,9;1,7667;6,8666
22;02/06/2023;08:00;SEYCHELLES;FIRST DIVISION LEAGUE - CHAMPIONSHIP GROUP - ROUND 14;Anse Reunion;Bazar Brothers;27;30;4,3;26;30;3,3667;0,9;0,8667;1,7667;7,6667
23;02/06/2023;15:45;GERMANY;2. BUNDESLIGA - RELEGATION - FINAL;Wehen;Arminia Bielefeld;26;30;3,1;27;30;3,3;0,8667;0,9;1,7667;6,4
24;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;LASK (Am);WSC Wels;27;30;3,5667;26;30;3,1;0,9;0,8667;1,7667;6,6667
25;02/06/2023;14:00;DENMARK;2ND DIVISION - PROMOTION GROUP - ROUND 8;B.93;AB Copenhagen;27;30;3,4333;26;30;3,1;0,9;0,8667;1,7667;6,5333
26;02/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 11;Zhejiang Professional;Shenzhen;27;30;2,9333;26;30;2,7667;0,9;0,8667;1,7667;5,7
27;02/06/2023;13:30;GERMANY;REGIONALLIGA BAYERN - RELEGATION - FINAL;Spvgg Ansbach 09;Gebenbach;25;30;3,7333;28;30;4,3;0,8333;0,9333;1,7666;8,0333
28;02/06/2023;13:00;CZECH REPUBLIC;DIVISION D - ROUND 25;Start Brno;Stara Rise;28;30;3,9;25;30;3,2667;0,9333;0,8333;1,7666;7,1667
29;02/06/2023;13:00;FINLAND;KAKKONEN GROUP B;HJS;Ilves 2;25;30;3,4667;28;30;3,6;0,8333;0,9333;1,7666;7,0667
30;02/06/2023;12:00;CZECH REPUBLIC;DIVISION F - ROUND 25;Valasske Mezirici;Frenstat p. R.;25;30;3,4333;28;30;3,6667;0,8333;0,9333;1,7666;7,1
31;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 10;Skiljebo;Enskede;28;30;3,5667;25;30;3,2333;0,9333;0,8333;1,7666;6,8
32;02/06/2023;16:15;ICELAND;DIVISION 2 - ROUND 5;Fjardabyggd/Leiknir;Hottur / Huginn;28;29;4,0;24;30;3,2333;0,9655;0,8;1,7655;7,2333
33;02/06/2023;16:15;ICELAND;DIVISION 2 - ROUND 5;Throttur Vogar;IR Reykjavik;24;30;2,8667;28;30;3,5333;0,8;0,9333;1,7333;6,4
34;02/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 10;Hassleholms IF;Rappe GOIF;24;30;2,9667;28;30;3,9667;0,8;0,9333;1,7333;6,9334
35;02/06/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 19;Bashundara Kings;Mohammedan;27;30;3,2333;25;30;3,5;0,9;0,8333;1,7333;6,7333
36;02/06/2023;15:15;FAROE ISLANDS;1. DEILD - ROUND 12;Sandur;Klaksvik 2;28;30;3,6333;24;30;3,6333;0,9333;0,8;1,7333;7,2666
37;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 11;Fram;Keflavik;28;30;4,2333;24;30;3,5;0,9333;0,8;1,7333;7,7333
38;02/06/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Ilves W;KuPS W;24;30;3,2667;28;30;4,3333;0,8;0,9333;1,7333;7,6
39;02/06/2023;17:30;PERU;LIGA WOMEN - ROUND 10;Cesar Vallejo W;Carlos Mannucci W;24;30;3,1667;28;30;3,8;0,8;0,9333;1,7333;6,9667
40;02/06/2023;12:30;CZECH REPUBLIC;MSFL - ROUND 31;Znojmo;Uhersky Brod;27;30;3,2;25;30;3,1333;0,9;0,8333;1,7333;6,3333
41;02/06/2023;13:00;CZECH REPUBLIC;PLZENSKY KP - ROUND 29;Petrin Plzen B;Chotikov;25;28;5,3571;25;30;4,1333;0,8929;0,8333;1,7262;9,4904
42;02/06/2023;16:00;IRELAND;DIVISION 1 - ROUND 17;Finn Harps;Kerry;26;30;3,1;18;21;3,381;0,8667;0,8571;1,7238;6,481
43;02/06/2023;23:00;USA;USL LEAGUE TWO;Ballard;PDX FC;15;18;3,2778;23;26;4,2308;0,8333;0,8846;1,7179;7,5086
44;02/06/2023;09:00;KENYA;SUPER LEAGUE - ROUND 31;Kajiado;Vihiga United;22;26;3,4231;26;30;3,6333;0,8462;0,8667;1,7129;7,0564
45;02/06/2023;14:00;DENMARK;1ST DIVISION - RELEGATION GROUP - ROUND 32;Nykobing;Fredericia;28;30;3,8667;23;30;3,0;0,9333;0,7667;1,7;6,8667
46;02/06/2023;13:30;CZECH REPUBLIC;USTECKY KP - ROUND 28;Modlany;Krupka;26;30;3,9333;25;30;3,8667;0,8667;0,8333;1,7;7,8
47;02/06/2023;12:00;CZECH REPUBLIC;MSFL - ROUND 31;Kvitkovice;Hlucin;25;30;3,7667;26;30;3,2333;0,8333;0,8667;1,7;7,0
48;02/06/2023;13:00;POLAND;III LIGA - GROUP I - ROUND 32;Warta Sieradz;LKS Lodz II;23;30;2,7333;28;30;3,8;0,7667;0,9333;1,7;6,5333
49;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;SC Weiz;Leoben;26;30;3,5333;25;30;3,2;0,8667;0,8333;1,7;6,7333
50;02/06/2023;20:00;USA;USL LEAGUE TWO;RC New Jersey;Lehigh Valley;22;30;3,4;29;30;3,8667;0,7333;0,9667;1,7;7,2667
51;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Changnyeong W;Sejong Sportstoto W;24;30;2,7;27;30;3,2333;0,8;0,9;1,7;5,9333
52;02/06/2023;23:00;USA;MLS NEXT PRO;Vancouver Whitecaps 2;Sporting Kansas City II;25;30;3,6333;26;30;3,2;0,8333;0,8667;1,7;6,8333
53;02/06/2023;18:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 19;Central FC;San Juan Jabloteh;26;30;3,3667;25;30;3,5667;0,8667;0,8333;1,7;6,9334
54;02/06/2023;13:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 11;Hacken W;Kristianstad W;25;30;3,3667;26;30;3,6;0,8333;0,8667;1,7;6,9667
55;02/06/2023;15:00;SWEDEN;DIVISION 2 - SÖDRA SVEALAND - ROUND 10;Ragsved;Haninge;25;30;3,0667;26;30;3,1667;0,8333;0,8667;1,7;6,2334
56;02/06/2023;08:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 11;Perth Glory U21;Floreat Athena;25;30;3,7667;26;30;3,5333;0,8333;0,8667;1,7;7,3
57;02/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 10;Balkan;VMA;22;30;2,7333;29;30;4,2333;0,7333;0,9667;1,7;6,9666
58;02/06/2023;14:00;AUSTRIA;REGIONALLIGA WEST - TYROL - RELEGATION GROUP - ROUND 30;SC Kundl;SV Worgl;25;30;2,8667;26;30;3,8333;0,8333;0,8667;1,7;6,7
59;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;Torslanda;Grebbestad;26;30;3,7;25;30;3,3667;0,8667;0,8333;1,7;7,0667
60;02/06/2023;14:00;AUSTRIA;REGIONALLIGA WEST - PROMOTION GROUP - ROUND 9;Bischofshofen;Kufstein;24;30;3,4;26;30;3,3667;0,8;0,8667;1,6667;6,7667
61;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;Lidkoping;Gauthiod;26;30;3,6333;24;30;3,2667;0,8667;0,8;1,6667;6,9
62;02/06/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 13;Kedah;Sabah;24;30;3,2;26;30;3,1;0,8;0,8667;1,6667;6,3
63;02/06/2023;14:00;SWEDEN;DIVISION 2 - SÖDRA GÖTALAND - ROUND 10;Osterlen FF;Nosaby IF;26;30;3,0667;24;30;2,6333;0,8667;0,8;1,6667;5,7
64;02/06/2023;14:30;GERMANY;OBERLIGA MITTELRHEIN - ROUND 29;Bonner;Wegberg-Beeck;23;30;3,1667;27;30;3,4667;0,7667;0,9;1,6667;6,6334
65;02/06/2023;14:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 10;Notvikens IK;Storfors AIK;24;30;2,5667;26;30;3,5667;0,8;0,8667;1,6667;6,1334
66;02/06/2023;07:30;AUSTRALIA;NPL VICTORIA - ROUND 16;Oakleigh Cannons;Dandenong Thunder;27;30;4,0333;23;30;3,2333;0,9;0,7667;1,6667;7,2666
67;02/06/2023;11:00;FINLAND;KANSALLINEN LIIGA WOMEN;TPS W;Aland Utd W;21;30;3,2;29;30;3,7;0,7;0,9667;1,6667;6,9
68;02/06/2023;19:00;BRAZIL;SERIE B - ROUND 10;Ceara;Chapecoense-SC;29;30;2,9667;21;30;2,3333;0,9667;0,7;1,6667;5,3
69;02/06/2023;15:00;ICELAND;BESTA-DEILD KARLA - ROUND 10;Stjarnan;KA Akureyri;26;30;3,5667;24;30;3,1333;0,8667;0,8;1,6667;6,7
70;02/06/2023;20:00;PERU;LIGA WOMEN - ROUND 10;Killas W;Sporting Victoria W;23;30;2,8;9;10;3,4;0,7667;0,9;1,6667;6,2
71;02/06/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Honka W;HPS W;24;30;2,7;26;30;3,2333;0,8;0,8667;1,6667;5,9333
72;02/06/2023;07:00;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 15;White City;Campbelltown City;25;30;3,2667;25;30;2,9667;0,8333;0,8333;1,6666;6,2334
73;02/06/2023;07:00;AUSTRALIA;NPL VICTORIA - ROUND 16;Green Gully;Bentleigh Greens;25;30;3,4667;25;30;3,1;0,8333;0,8333;1,6666;6,5667
74;02/06/2023;22:00;PERU;LIGA 1 - APERTURA - ROUND 18;ADT Tarma;Alianza Lima;25;30;2,8;25;30;2,6333;0,8333;0,8333;1,6666;5,4333
75;02/06/2023;20:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 19;Prison Service;Port Of Spain;15;18;3,1667;25;30;3,5;0,8333;0,8333;1,6666;6,6667
76;02/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Ypiranga AP;Santana EC;25;30;3,0667;23;28;3,5714;0,8333;0,8214;1,6547;6,6381
77;02/06/2023;13:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 29;Horni Redice;Lazne Bohdanec;26;30;3,4667;23;30;2,8;0,8667;0,7667;1,6334;6,2667
78;02/06/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 19;Abahani Limited;Sheikh Jamal;26;30;4,0;23;30;2,8333;0,8667;0,7667;1,6334;6,8333
79;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Seoul W;Incheon Hyundai Steel W;26;30;3,3333;23;30;2,6333;0,8667;0,7667;1,6334;5,9666
80;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Deutschlandsberger;Allerheiligen;26;30;3,5333;23;30;3,0667;0,8667;0,7667;1,6334;6,6
81;02/06/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;FK Kyran;Turkistan;26;30;4,4333;23;30;4,0667;0,8667;0,7667;1,6334;8,5
82;02/06/2023;13:00;CZECH REPUBLIC;CFL - GROUP A - ROUND 29;Pisek;Vltavin;25;30;3,6333;24;30;2,8333;0,8333;0,8;1,6333;6,4666
83;02/06/2023;14:30;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 32;A. Lustenau;Hartberg;24;30;3,5;25;30;3,0;0,8;0,8333;1,6333;6,5
84;02/06/2023;19:00;USA;USL LEAGUE TWO;St. Petersburg FC;Weston;3;3;3,6667;19;30;2,2667;1,0;0,6333;1,6333;5,9334
85;02/06/2023;14:00;SWEDEN;DIVISION 2 - VÄSTRA GÖTALAND - ROUND 10;Landvetter;Qviding;21;30;2,5667;28;30;3,6333;0,7;0,9333;1,6333;6,2
86;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Suwon FC W;Hwacheon W;24;30;2,7;25;30;2,7;0,8;0,8333;1,6333;5,4
87;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Athlone;Longford;27;30;3,7;22;30;2,5667;0,9;0,7333;1,6333;6,2667
88;02/06/2023;23:00;MEXICO;LIGA MX WOMEN - CLAUSURA - PLAY OFFS - FINAL;Pachuca W;Club America W;25;30;3,9;24;30;3,4667;0,8333;0,8;1,6333;7,3667
89;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Waterford;Treaty United;22;30;3,1333;27;30;3,1667;0,7333;0,9;1,6333;6,3
90;02/06/2023;10:00;ETHIOPIA;PREMIER LEAGUE - ROUND 27;Dire Dawa;Adama City;27;30;2,9667;22;30;2,4;0,9;0,7333;1,6333;5,3667
91;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Gleisdorf;Kalsdorf;27;30;3,4333;22;30;2,9333;0,9;0,7333;1,6333;6,3666
92;02/06/2023;13:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 29;Hluboka nad Vltavou;Milevsko;27;30;3,5667;22;30;3,3;0,9;0,7333;1,6333;6,8667
93;02/06/2023;14:00;DENMARK;1ST DIVISION - RELEGATION GROUP - ROUND 32;Hillerod;Hobro;25;30;2,7333;24;30;2,5;0,8333;0,8;1,6333;5,2333
94;02/06/2023;13:00;POLAND;III LIGA - GROUP II - ROUND 32;Ol. Grudziadz;Sroda;22;30;2,6667;27;30;4,3333;0,7333;0,9;1,6333;7,0
95;02/06/2023;20:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 16;Aurora;Libertad Gran Mamore;22;30;2,4;27;30;3,3333;0,7333;0,9;1,6333;5,7333
96;02/06/2023;14:00;DENMARK;2ND DIVISION - RELEGATION GROUP - ROUND 8;Roskilde;BK Frem;22;30;2,8;27;30;3,5333;0,7333;0,9;1,6333;6,3333
97;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 10;Breidablik;Vikingur Reykjavik;24;30;3,3;25;30;3,1667;0,8;0,8333;1,6333;6,4667
98;02/06/2023;16:15;ICELAND;BESTA-DEILD KARLA - ROUND 11;Valur;Hafnarfjordur;21;30;2,8333;27;30;4,0;0,7;0,9;1,6;6,8333
99;02/06/2023;15:45;FRANCE;LIGUE 2 - ROUND 38;Paris FC;Annecy;21;30;2,6667;27;30;3,2333;0,7;0,9;1,6;5,9
100;02/06/2023;13:00;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Vantaa W;PK-35 Helsinki W;23;30;3,4;25;30;3,1333;0,7667;0,8333;1,6;6,5333
101;02/06/2023;15:30;ITALY;SERIE A - ROUND 38;Sassuolo;Fiorentina;24;30;2,9667;24;30;2,8667;0,8;0,8;1,6;5,8334
102;02/06/2023;15:00;ICELAND;LENGJUDEILDIN - ROUND 5;Thor Akureyri;Aegir;22;30;3,2333;26;30;3,5333;0,7333;0,8667;1,6;6,7666
103;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Bray;Galway;25;30;3,0333;23;30;2,9333;0,8333;0,7667;1,6;5,9666
104;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Wexford;Cobh Ramblers;24;30;2,8333;24;30;2,9333;0,8;0,8;1,6;5,7666
105;02/06/2023;11:00;ITALY;PRIMAVERA 1 - PLAY OFFS - QUARTER-FINALS;Sassuolo U19;Juventus U19;23;30;2,7333;25;30;3,5667;0,7667;0,8333;1,6;6,3
106;02/06/2023;13:00;CZECH REPUBLIC;DIVISION C - ROUND 29;Novy Bydzov;Dobrovice;25;30;3,0;23;30;3,3667;0,8333;0,7667;1,6;6,3667
107;02/06/2023;12:30;CZECH REPUBLIC;MSFL - ROUND 31;Velke Mezirici;Vrchovina;29;30;4,1333;19;30;2,6;0,9667;0,6333;1,6;6,7333
108;02/06/2023;16:00;NORTH & CENTRAL AMERICA;CONCACAF CHAMPIONSHIP WOMEN U20 - PLAY OFFS - SEMI-FINALS;Mexico U20 W;Canada U20 W;22;30;3,4333;26;30;4,9;0,7333;0,8667;1,6;8,3333
109;02/06/2023;22:30;PERU;LIGA 1 - APERTURA - ROUND 18;U. de Deportes;Cusco;21;30;2,2667;27;30;2,9;0,7;0,9;1,6;5,1667
110;02/06/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 14;Gyeongju W;Boeun Sangmu W;24;30;2,7333;24;30;2,7;0,8;0,8;1,6;5,4333
111;02/06/2023;06:45;AUSTRALIA;NPL NSW - ROUND 18;Sutherland Sharks;Central Coast U21;20;30;2,4333;28;30;3,2667;0,6667;0,9333;1,6;5,7
112;02/06/2023;14:00;SWEDEN;DIVISION 1 - NORRA - ROUND 11;Karlstad;Orebro Syr.;24;30;3,0;24;30;3,1;0,8;0,8;1,6;6,1
113;02/06/2023;14:30;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;IFK Skovde;Saffle SK;26;30;4,0;22;30;2,8333;0,8667;0,7333;1,6;6,8333
114;02/06/2023;10:00;TURKEY;TFF 3. LIG PLAY OFFS - SEMI-FINALS;Beyoglu Yeni Carsi;Efeler 09;26;30;3,3;22;30;2,7;0,8667;0,7333;1,6;6,0
115;02/06/2023;06:00;UKRAINE;YOUTH LEAGUE - ROUND 30;Minaj U19;Zorya U19;24;30;3,1667;24;30;3,5333;0,8;0,8;1,6;6,7
116;02/06/2023;14:00;WORLD;ARAB CLUB CHAMPIONS CUP - QUALIFICATION - FINAL;Nouadhibou;Al Kuwait;23;30;2,8667;25;30;3,5667;0,7667;0,8333;1,6;6,4334
117;02/06/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 7;Dagon;Ispe FC;22;28;3,3929;24;30;3,0;0,7857;0,8;1,5857;6,3929
118;02/06/2023;21:00;USA;USL LEAGUE TWO;Minneapolis City;Bavarian United;13;16;3,5;10;13;3,0;0,8125;0,7692;1,5817;6,5
