NÂº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25;placar
1;03/09/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 10;Sao Bernardo;Portuguesa Santista;22;24;18;23;0,9167;0,9965;0,7826;0,8318;1,6993;18,28;16,76;7,68;13,11;14,3;5,6;75,73;24,23;1
2;03/09/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 10;Noroeste;Comercial;24;21;13;22;1,1429;0,8883;0,5909;0,9371;1,7338;17,66;20,19;11,54;11,93;10,44;3,08;74,84;25,15;3
3;03/09/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 10;Portuguesa;Sao Caetano;27;21;15;21;1,2857;1,1188;0,7143;0,9331;2,0;13,53;17,4;11,19;12,43;9,67;3,45;67,67;32,26;2
4;03/09/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 10;Piracicaba;Primavera;19;22;24;21;0,8636;0,8684;1,1429;0,7095;2,0065;13,44;11,61;5,01;13,27;15,37;8,78;67,48;32,47;2
5;03/09/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 10;Ponte Preta;Juventus-SP;21;22;24;22;0,9545;0,8245;1,0909;1,0833;2,0454;12,93;12,34;5,89;13,47;14,11;7,7;66,44;33,55;4
6;03/09/2023;17:00;BRAZIL;COPA SANTA CATARINA - ROUND 1;Avai;Concordia;26;21;19;23;1,2381;1,1914;0,8261;0,9161;2,0642;12,69;15,72;9,73;12,98;10,48;4,33;65,93;34,03;1
7;03/09/2023;15:45;BRAZIL;SERIE B - ROUND 26;Vila Nova FC;CRB;23;21;22;22;1,0952;1,0191;1,0;0,9045;2,0952;12,31;13,48;7,38;13,48;12,31;6,15;65,11;34,87;1
8;03/09/2023;18:30;BRAZIL;SERIE A - ROUND 22;Cruzeiro;Bragantino;17;23;32;23;0,7391;0,9426;1,3913;1,2065;2,1304;11,88;8,78;3,24;12,22;16,53;11,5;64,15;35,76;0
9;03/09/2023;18:00;BRAZIL;SERIE B - ROUND 26;Botafogo SP;Sport Recife;19;22;26;20;0,8636;0,9193;1,3;0,9539;2,1636;11,49;9,92;4,28;12,9;14,94;9,71;63,24;36,73;2
10;03/09/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 10;Oeste;Bragantino;18;22;32;23;0,8182;0,7767;1,3913;1,2065;2,2095;10,98;8,98;3,67;12,49;15,27;10,62;62,01;37,88;4
11;03/09/2023;18:30;BRAZIL;SERIE A - ROUND 22;America MG;Santos;41;23;12;21;1,7826;1,3173;0,5714;0,5832;2,354;9,5;16,93;15,09;9,67;5,43;1,55;58,17;41,54;2
12;03/09/2023;16:00;BRAZIL;SERIE C - SECOND STAGE - ROUND 1;Sao Bernardo;Operario;28;23;24;21;1,2174;0,9305;1,1429;0,7095;2,3603;9,44;11,49;6,99;13,13;10,79;6,17;58,01;41,92;3
13;03/09/2023;10:00;BRAZIL;COPA PAULISTA - ROUND 10;Mirassol;Marilia;23;21;28;20;1,0952;0,8109;1,4;0,8602;2,4952;8,25;9,03;4,95;12,64;11,55;8,08;54,5;45,45;5
14;03/09/2023;18:00;BRAZIL;SERIE C - SECOND STAGE - ROUND 1;Botafogo PB;Amazonas;31;22;29;22;1,4091;0,7173;1,3182;1,4889;2,7273;6,54;9,21;6,49;12,15;8,62;5,68;48,69;51,21;3
15;03/09/2023;15:00;BRAZIL;SERIE D - PLAY OFFS - QUARTER-FINALS;Sousa;Ferroviaria;40;22;24;22;1,8182;1,3016;1,0909;1,2026;2,9091;5,45;9,91;9,01;10,81;5,95;3,24;44,37;55,32;2
16;03/09/2023;17:00;BRAZIL;SERIE C - SECOND STAGE - ROUND 1;Paysandu PA;Volta Redonda;32;23;39;23;1,3913;1,0103;1,6957;1,5161;3,087;4,57;6,35;4,42;10,77;7,74;6,56;40,41;59,39;2
17;03/09/2023;18:30;BRAZIL;SERIE A - ROUND 22;Bahia;Vasco;39;20;27;22;1,95;1,244;1,2273;0,9969;3,1773;4,17;8,13;7,93;9,98;5,12;3,14;38,47;61,07;2
18;03/09/2023;16:00;BRAZIL;SERIE A - ROUND 22;Corinthians;Palmeiras;38;22;32;22;1,7273;1,1355;1,4545;1,4374;3,1818;4,15;7,17;6,19;10,43;6,04;4,39;38,37;61,4;0
19;03/09/2023;11:00;BRAZIL;SERIE A - ROUND 22;Gremio;Cuiaba;49;23;24;22;2,1304;1,4538;1,0909;1,0405;3,2213;3,99;8,5;9,06;9,27;4,35;2,37;37,54;61,82;2
20;03/09/2023;16:00;BRAZIL;SERIE A - ROUND 22;Fluminense;Fortaleza;47;22;25;21;2,1364;1,5752;1,1905;1,1389;3,3269;3,59;7,67;8,2;9,13;4,28;2,55;35,42;63,93;1
21;03/09/2023;17:30;BRAZIL;SERIE D - PLAY OFFS - QUARTER-FINALS;Ferroviario;Maranhao;46;20;29;20;2,3;1,5843;1,45;1,5322;3,75;2,35;5,41;6,22;7,84;3,41;2,47;27,7;71,31;3
