Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;31/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Japan W;Spain W;7;2;3,5;8;2;4,0;7,5
2;31/07/2023;06:00;BHUTAN;PREMIER LEAGUE;RTC;Transport United;0;1;0,0;7;1;7,0;7,0
3;31/07/2023;21:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Club America;Columbus Crew;4;1;4,0;2;1;2,0;6,0
4;31/07/2023;12:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Smorgon W;Zorka-BDU W;42;17;2,4706;57;17;3,3529;5,8235
5;31/07/2023;13:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Nardo;Rosenborg 2;35;12;2,9167;34;12;2,8333;5,75
6;31/07/2023;14:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Eik-Tonsberg;Sandefjord 2;36;12;3,0;31;12;2,5833;5,5833
7;31/07/2023;08:45;SINGAPORE;PREMIER LEAGUE;Lion City;Balestier Khalsa;58;20;2,9;50;20;2,5;5,4
8;31/07/2023;14:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Brann 2;Levanger;31;12;2,5833;32;12;2,6667;5,25
9;31/07/2023;22:30;NORTH & CENTRAL AMERICA;LEAGUES CUP;Toluca;Colorado Rapids;4;1;4,0;1;1;1,0;5,0
10;31/07/2023;14:00;DENMARK;SUPERLIGA - ROUND 2;Aarhus;Nordsjaelland;1;1;1,0;4;1;4,0;5,0
11;31/07/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 14;Rakhine United;Yangon Utd;17;13;1,3077;39;13;3,0;4,3077
12;31/07/2023;13:00;ESTONIA;ESILIIGA - ROUND 18;Flora U21;Levadia U21;46;20;2,3;38;19;2,0;4,3
13;31/07/2023;13:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Fredrikstad 2;Odd 2;26;12;2,1667;24;12;2,0;4,1667
14;31/07/2023;23:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Guadalajara Chivas;Sporting Kansas City;1;1;1,0;3;1;3,0;4,0
15;31/07/2023;22:06;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Club Leon W;Queretaro W;2;2;1,0;6;2;3,0;4,0
16;31/07/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al-Shabab;Zamalek;0;1;0,0;4;1;4,0;4,0
17;31/07/2023;12:30;FINLAND;YKKONEN;TPS;SJK Akatemia;31;16;1,9375;29;16;1,8125;3,75
18;31/07/2023;20:15;PARAGUAY;DIVISION INTERMEDIA - ROUND 19;Sol de America;Recoleta;27;18;1,5;39;18;2,1667;3,6667
19;31/07/2023;20:00;USA;MLS NEXT PRO;New York Red Bulls 2;Orlando City B;30;19;1,5789;38;19;2,0;3,5789
20;31/07/2023;15:15;BULGARIA;PARVA LIGA - ROUND 3;Lok. Plovdiv;Botev Vratsa;5;2;2,5;2;2;1,0;3,5
21;31/07/2023;07:30;SOUTH KOREA;K LEAGUE 2 - ROUND 24;Anyang;Gimcheon Sangmu;36;21;1,7143;37;21;1,7619;3,4762
22;31/07/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 17;KR Reykjavik;Valur;17;16;1,0625;38;16;2,375;3,4375
23;31/07/2023;09:30;KYRGYZSTAN;PREMIER LIGA - ROUND 12;Muras United;Alga;19;14;1,3571;27;14;1,9286;3,2857
24;31/07/2023;13:00;NORWAY;DIVISION 2 - GROUP 2 - ROUND 13;Alta;Stromsgodset 2;22;12;1,8333;17;12;1,4167;3,25
25;31/07/2023;14:00;SWEDEN;DIVISION 1 - NORRA - ROUND 15;Sollentuna;Hammarby TFF;26;14;1,8571;19;14;1,3571;3,2142
26;31/07/2023;14:00;SWEDEN;ALLSVENSKAN - ROUND 17;Malmo FF;Varnamo;35;16;2,1875;16;16;1,0;3,1875
27;31/07/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;FC Gomel W;Belarus U19 W;5;17;0,2941;48;17;2,8235;3,1176
28;31/07/2023;18:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 19;2 de Mayo;Rubio Nu;27;18;1,5;28;18;1,5556;3,0556
29;31/07/2023;10:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Al Wahda;CR Belouizdad;2;1;2,0;1;1;1,0;3,0
30;31/07/2023;14:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Raja Casablanca;Al Kuwait;2;1;2,0;1;1;1,0;3,0
31;31/07/2023;21:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;Puebla;Chicago Fire;0;1;0,0;3;1;3,0;3,0
32;31/07/2023;13:30;RUSSIA;PREMIER LEAGUE - ROUND 2;Spartak Moscow;Baltika;3;1;3,0;0;1;0,0;3,0
33;31/07/2023;15:00;PERU;LIGA 1 - CLAUSURA - ROUND 6;Sport Boys;FBC Melgar;4;5;0,8;11;5;2,2;3,0
34;31/07/2023;12:30;BULGARIA;VTORA LIGA - ROUND 3;Maritsa Plovdiv;Svoge;3;2;1,5;3;2;1,5;3,0
35;31/07/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 9;CSR Espanol;Mercedes;15;7;2,1429;6;7;0,8571;3,0
36;31/07/2023;14:00;LITHUANIA;I LYGA - ROUND 16;Riteriai 2;Nevezis Kedainiai;18;13;1,3846;23;15;1,5333;2,9179
37;31/07/2023;14:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Olympic;Lunds;16;14;1,1429;24;14;1,7143;2,8572
38;31/07/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 21;Libertad Gran Mamore;Nacional Potosi;17;19;0,8947;37;19;1,9474;2,8421
39;31/07/2023;21:30;CHILE;PRIMERA B - ROUND 20;La Serena;Deportes Temuco;29;19;1,5263;25;19;1,3158;2,8421
40;31/07/2023;16:15;ICELAND;BESTA DEILD KARLA - ROUND 17;Keflavik;Hafnarfjordur;15;16;0,9375;28;15;1,8667;2,8042
41;31/07/2023;22:30;PERU;LIGA 1 - CLAUSURA - ROUND 6;U. de Deportes;Carlos Mannucci;9;5;1,8;4;4;1,0;2,8
42;31/07/2023;19:00;ARGENTINA;PRIMERA C - ROUND 29;Midland;General Lamadrid;40;26;1,5385;33;27;1,2222;2,7607
43;31/07/2023;14:00;SWEDEN;SUPERETTAN - ROUND 16;Utsikten;Helsingborg;29;15;1,9333;12;15;0,8;2,7333
44;31/07/2023;12:30;FINLAND;YKKONEN;KaPa;JJK Jyvaskyla;25;16;1,5625;17;16;1,0625;2,625
45;31/07/2023;06:00;MYANMAR;NATIONAL LEAGUE - ROUND 14;Ispe FC;Chinland;22;13;1,6923;12;13;0,9231;2,6154
46;31/07/2023;12:00;LATVIA;OPTIBET VIRSLIGA - ROUND 24;Metta/LU;Jelgava;30;23;1,3043;29;23;1,2609;2,5652
47;31/07/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 3;Canada W;Australia W;2;2;1,0;3;2;1,5;2,5
48;31/07/2023;12:30;ROMANIA;LIGA 1 - ROUND 3;Petrolul;FC Voluntari;2;2;1,0;3;2;1,5;2,5
49;31/07/2023;20:10;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Chico;La Equidad;1;1;1,0;3;2;1,5;2,5
50;31/07/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 15;Brusque;Sao Bernardo;20;14;1,4286;15;14;1,0714;2,5
51;31/07/2023;07:00;SOUTH KOREA;K LEAGUE 2 - ROUND 24;Seoul E-Land;Asan;26;21;1,2381;27;22;1,2273;2,4654
52;31/07/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 13;Ferroviario Beira;Ferroviario Lichinga;15;12;1,25;14;12;1,1667;2,4167
53;31/07/2023;14:00;SWEDEN;SUPERETTAN - ROUND 16;Orebro;GAIS;14;15;0,9333;21;15;1,4;2,3333
54;31/07/2023;12:00;LITHUANIA;I LYGA - ROUND 16;FK Panevezys 2;BFA Vilnius;20;15;1,3333;15;15;1,0;2,3333
55;31/07/2023;19:00;CHILE;PRIMERA B - ROUND 20;U. De Concepcion;Cobreloa;19;19;1,0;24;19;1,2632;2,2632
56;31/07/2023;14:00;SWEDEN;ALLSVENSKAN - ROUND 17;Sirius;AIK;21;16;1,3125;14;16;0,875;2,1875
57;31/07/2023;14:00;SWEDEN;DIVISION 2 - NORRLAND - ROUND 14;Bergnasets AIK;Storfors AIK;13;13;1,0;15;13;1,1538;2,1538
58;31/07/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 9;Deportivo Muniz;Lugano;4;8;0,5;11;7;1,5714;2,0714
59;31/07/2023;17:15;PERU;LIGA 1 - CLAUSURA - ROUND 6;Sport Huancayo;Alianza Atl.;5;4;1,25;4;5;0,8;2,05
60;31/07/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 27;Def. de Belgrano;Flandria;27;25;1,08;23;24;0,9583;2,0383
61;31/07/2023;17:00;VENEZUELA;LIGA FUTVE 2 - CLAUSURA - ROUND 3;Academia Anzoategui;Nueva Esparta;3;2;1,5;1;2;0,5;2,0
62;31/07/2023;11:00;RUSSIA;FNL - ROUND 3;Alania Vladikavkaz;Kamaz;2;2;1,0;2;2;1,0;2,0
63;31/07/2023;13:00;POLAND;DIVISION 1 - ROUND 2;GKS Katowice;Chrobry Glogow;0;1;0,0;2;1;2,0;2,0
64;31/07/2023;16:30;WORLD;COTIF TOURNAMENT;Alzira U20;Real Murcia U20;2;1;2,0;0;1;0,0;2,0
65;31/07/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Envigado;U. Magdalena;2;2;1,0;1;1;1,0;2,0
66;31/07/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 3;Ireland W;Nigeria W;1;2;0,5;3;2;1,5;2,0
67;31/07/2023;00:00;NORTH & CENTRAL AMERICA;LEAGUES CUP;U.A.N.L.- Tigres;San Jose Earthquakes;2;1;2,0;0;1;0,0;2,0
68;31/07/2023;00:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 2;Dorados de Sinaloa;Atletico La Paz;0;1;0,0;2;1;2,0;2,0
69;31/07/2023;18:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 2;Cucuta;Real Soacha;2;1;2,0;0;1;0,0;2,0
70;31/07/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 3;Junior;Bucaramanga;0;2;0,0;4;2;2,0;2,0
71;31/07/2023;06:00;PHILIPPINES;COPA PAULINO ALCANTARA;Philippine Air Force;Loyola;1;1;1,0;2;2;1,0;2,0
72;31/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Deportivo Espanol;Central Cordoba;29;27;1,0741;22;26;0,8462;1,9203
73;31/07/2023;13:45;ESTONIA;MEISTRILIIGA - ROUND 1;Kuressaare;Tammeka;23;20;1,15;15;20;0,75;1,9
74;31/07/2023;15:30;ARGENTINA;PRIMERA C - ROUND 29;Yupanqui;Excursionistas;15;26;0,5769;35;27;1,2963;1,8732
75;31/07/2023;20:00;BRAZIL;SERIE C - FIRST STAGE - ROUND 15;Aparecidense;Floresta EC;14;14;1,0;10;14;0,7143;1,7143
76;31/07/2023;21:10;ARGENTINA;PRIMERA NACIONAL - ROUND 27;All Boys;Defensores Unidos;21;25;0,84;21;25;0,84;1,68
77;31/07/2023;19:00;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Talleres (R.E);Argentino de Merlo;7;7;1,0;4;6;0,6667;1,6667
78;31/07/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 8;Dock Sud;Fenix;5;7;0,7143;5;6;0,8333;1,5476
79;31/07/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 9;El Porvenir;Central Ballester;6;7;0,8571;3;7;0,4286;1,2857
80;31/07/2023;13:00;POLAND;DIVISION 2 - ROUND 2;GKS Jastrzebie;Stomil Olsztyn;0;1;0,0;1;1;1,0;1,0
81;31/07/2023;15:30;ROMANIA;LIGA 1 - ROUND 3;Din. Bucuresti;Sepsi Sf. Gheorghe;1;2;0,5;1;2;0,5;1,0
82;31/07/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 2;Alebrijes Oaxaca;Tapatio;0;0;0,0;0;1;0,0;0,0
83;31/07/2023;16:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 2;Monastir;Al-Nassr;0;1;0,0;0;1;0,0;0,0
84;31/07/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Costa Rica W;Zambia W;0;2;0,0;0;2;0,0;0,0
85;31/07/2023;11:00;ARMENIA;PREMIER LEAGUE - ROUND 1;Alashkert;Pyunik Yerevan;0;0;0;0;0;0;0
86;31/07/2023;15:00;HUNGARY;OTP BANK LIGA - ROUND 1;Debrecen;Mezokovesd-Zsory;0;0;0;0;0;0;0
87;31/07/2023;14:00;SERBIA;SUPER LIGA - ROUND 1;Mladost;Radnik;0;0;0;0;0;0;0
